Grupy wieku;pracujacy;p_absol_j;p_absol_l;p_wzgl_j;p_wzgl_l;i_dyn_j;i_dyn_l
1989;18398;0;;0;;1;
1990;18470;72;72;0.004;0.004;1.004;1.004
1991;18548;150;78;0.008;0.004;1.008;1.004
1992;18622;224;74;0.012;0.004;1.012;1.004
1993;18667;269;45;0.015;0.002;1.015;1.002
1994;18708;310;41;0.017;0.002;1.017;1.002
1995;18744;346;36;0.019;0.002;1.019;1.002
1996;18768;370;24;0.020;0.001;1.020;1.001
1997;18787;389;19;0.021;0.001;1.021;1.001
1998;18803;405;16;0.022;0.001;1.022;1.001
1999;18673;275;-130;0.015;-0.007;1.015;0.993
2000;18829;431;156;0.023;0.008;1.023;1.008
2001;19020;622;191;0.034;0.010;1.034;1.010
2002;19221;823;201;0.045;0.011;1.045;1.011
2003;19435;1037;214;0.056;0.011;1.056;1.011
2004;19662;1264;227;0.069;0.012;1.069;1.012
2005;19894;1496;232;0.081;0.012;1.081;1.012
2006;20045;1647;151;0.090;0.008;1.090;1.008
2007;20225;1827;180;0.099;0.009;1.099;1.009
2008;20414;2016;189;0.110;0.009;1.110;1.009
2009;20587;2189;173;0.119;0.008;1.119;1.008
2010;20946;2548;359;0.138;0.017;1.138;1.017
2011;20976;2578;30;0.140;0.001;1.140;1.001
2012;20961;2563;-15;0.139;-0.001;1.139;0.999
2013;20911;2513;-50;0.137;-0.002;1.137;0.998
2014;20848;2450;-63;0.133;-0.003;1.133;0.997
2015;20760;2362;-88;0.128;-0.004;1.128;0.996
2016;20669;2271;-91;0.123;-0.004;1.123;0.996
2017;20542;2144;-127;0.117;-0.006;1.117;0.994
2018;20401;2003;-141;0.109;-0.007;1.109;0.993
2019;20256;1858;-145;0.101;-0.007;1.101;0.993
2020;20083;1685;-173;0.092;-0.009;1.092;0.991
