,Grupy wieku,stosunek,p_absol_j,p_absol_l,p_wzgl_j,p_wzgl_l,i_dyn_j,i_dyn_l
0,1989,3.83451438099208,0.0,,0.0,,1.0,
1,1990,3.781736281736282,-0.05277809925579824,-0.05277809925579824,-0.013763959138456352,-0.013763959138456352,0.9862360408615436,0.9862360408615436
2,1991,3.7334943639291467,-0.1010200170629334,-0.04824191780713516,-0.02634493107228799,-0.012756552602601414,0.973655068927712,0.9872434473973986
3,1992,3.68242040735614,-0.15209397363594013,-0.05107395657300673,-0.039664468176173535,-0.01367993402278938,0.9603355318238265,0.9863200659772107
4,1993,3.622549970890743,-0.21196441010133693,-0.059870436465396804,-0.055278032376683044,-0.016258446848110387,0.944721967623317,0.9837415531518896
5,1994,3.5845947499520983,-0.24991963103998183,-0.037955220938644896,-0.06517634469669707,-0.010477487196487768,0.9348236553033029,0.9895225128035122
6,1995,3.539943342776204,-0.29457103821587616,-0.04465140717589433,-0.07682095017718088,-0.012456472848567057,0.9231790498228192,0.9875435271514329
7,1996,3.498881431767338,-0.3356329492247423,-0.04106191100886614,-0.08752945376564374,-0.01159959553947643,0.9124705462343563,0.9884004044605236
8,1997,3.45412759698474,-0.38038678400734005,-0.04475383478259776,-0.09920077126139894,-0.01279089779272455,0.9007992287386011,0.9872091022072754
9,1998,3.411284470246734,-0.4232299107453459,-0.04284312673800583,-0.11037379670378136,-0.012403458046948087,0.8896262032962187,0.9875965419530519
10,1999,3.339234620886981,-0.4952797601050989,-0.072049849359753,-0.12916362044701948,-0.021121032264583235,0.8708363795529805,0.9788789677354167
11,2000,3.326678445229682,-0.5078359357623983,-0.012556175657299384,-0.1324381356553966,-0.003760195698367598,0.8675618643446034,0.9962398043016324
12,2001,3.325174825174825,-0.5093395558172551,-0.0015036200548568246,-0.13283026355099412,-0.0004519883961171399,0.8671697364490059,0.9995480116038828
13,2002,3.3340849956634866,-0.5004293853285935,0.008910170488661606,-0.13050658717287703,0.0026796096317110614,0.869493412827123,1.002679609631711
14,2003,3.349706997587039,-0.48480738340504104,0.015622001923552453,-0.12643253753545966,0.004685543992990994,0.8735674624645403,1.004685543992991
15,2004,3.3627501282709082,-0.47176425272117184,0.013043130683869197,-0.12303102970736941,0.0038938124120303104,0.8769689702926305,1.0038938124120302
16,2005,3.378736413043478,-0.45577796794860204,0.015986284772569803,-0.11886197903127474,0.004753931800692485,0.8811380209687253,1.0047539318006924
17,2006,3.350325923449774,-0.4841884575423059,-0.028410489593703847,-0.1262711283448192,-0.008408613789470607,0.8737288716551808,0.9915913862105294
18,2007,3.3248397172447803,-0.5096746637472997,-0.025486206204993866,-0.1329176560854193,-0.007607082650260829,0.8670823439145807,0.9923929173497392
19,2008,3.2947062621045835,-0.5398081188874966,-0.03013345514019683,-0.14077613623340626,-0.009063130166517544,0.8592238637665938,0.9909368698334825
20,2009,3.2615652724968314,-0.5729491084952487,-0.033140989607752136,-0.14941894893793908,-0.01005886017486197,0.8505810510620609,0.989941139825138
21,2010,3.2444237918215615,-0.5900905891705186,-0.017141480675269882,-0.1538892622480785,-0.0052555994570507355,0.8461107377519215,0.9947444005429492
22,2011,3.152863369908312,-0.6816510110837681,-0.09156042191324953,-0.17776723291552993,-0.028220857627801917,0.8222327670844701,0.9717791423721981
23,2012,3.055094009619589,-0.779420371372491,-0.09776936028872285,-0.20326442775547407,-0.031009704138104173,0.796735572244526,0.9689902958618958
24,2013,2.9543656400113028,-0.8801487409807773,-0.10072836960828635,-0.22953330031665234,-0.03297062849494073,0.7704666996833477,0.9670293715050593
25,2014,2.8539356605065023,-0.9805787204855778,-0.10042997950480048,-0.25572435595661497,-0.03399375424106823,0.744275644043385,0.9660062457589318
26,2015,2.755874153723616,-1.078640227268464,-0.09806150678288628,-0.28129773945179315,-0.034360097229901396,0.7187022605482069,0.9656399027700986
27,2016,2.66010296010296,-1.17441142088912,-0.095771193620656,-0.3062738339724969,-0.03475165710714844,0.6937261660275031,0.9652483428928516
28,2017,2.569355847404628,-1.265158533587452,-0.09074711269833191,-0.3299397023672461,-0.03411413545241855,0.6700602976327539,0.9658858645475814
29,2018,2.4861077260541067,-1.3484066549379734,-0.0832481213505214,-0.3516499146859657,-0.032400386047970915,0.6483500853140344,0.9675996139520291
30,2019,2.4091341579448144,-1.4253802230472656,-0.07697356810929223,-0.37172379118277965,-0.030961477373895988,0.6282762088172203,0.969038522626104
31,2020,2.351639344262295,-1.482875036729785,-0.0574948136825193,-0.38671781857971016,-0.02386534327817053,0.6132821814202898,0.9761346567218294
