Grupy wieku ;0-6; 7 - 14; 15 - 18; 19 - 24;25-44; 45 - 59/64; 60/65plus;ogolem
1989;1868;2002;833;1220;4009;2530;2142;14604
1990;1811;1989;851;1228;3982;2519;2147;14527
1991;1764;1969;865;1228;3988;2534;2149;14497
1992;1728;1980;892;1250;4033;2571;2182;14636
1993;1681;1968;908;1256;4018;2575;2189;14595
1994;1645;1960;926;1266;4019;2577;2199;14592
1995;1593;1964;945;1277;4027;2591;2212;14609
1996;1542;1958;965;1287;4029;2602;2221;14604
1997;1489;1946;983;1295;4031;2612;2238;14594
1998;1423;1944;1001;1305;4034;2632;2256;14595
1999;1370,2;1965,8;1007,8;1311;4052,4;2581,1;2274,5;14562,8
2000;1316,9;1919;1039,8;1327,1;4047,1;2652,6;2281,2;14583,7
2001;1265,7;1879,1;1046,4;1357,7;4047,5;2735,7;2283,3;14615,4
2002;1220,6;1835,9;1024,4;1407,2;4043,2;2834,2;2281,8;14647,3
2003;1175,4;1792;1001;1450,5;4044,7;2937,1;2276,5;14677,2
2004;1137,4;1742,1;970,7;1487,1;4053,8;3038,6;2274;14703,7
2005;1110,6;1681,3;960,3;1505,7;4076;3130,8;2268,7;14733,4
2006;1092,8;1615,1;954,8;1515,5;4099,6;3201,5;2277,3;14756,6
2007;1086,6;1556,9;942,5;1506,1;4152,9;3267,3;2286,5;14798,8
2008;1098,8;1499,2;924,5;1478,7;4224;3321,9;2300,5;14847,6
2009;1115,3;1443,8;895,3;1455,5;4297,8;3367,6;2313,8;14889,1
2010;1187,8;1418;870,2;1406,4;4449,1;3442,3;2326,9;15100,7
2011;1198,9;1381;841,6;1395,7;4499,8;3465,4;2370,2;15152,6
2012;1203;1355;807,1;1389,3;4544,4;3479,6;2418,7;15197,1
2013;1196,6;1342,9;772,4;1377;4587;3487,7;2474,2;15237,8
2014;1180,3;1342,2;739,6;1356,5;4618;3492,4;2533,3;15262,3
2015;1148,8;1354,8;716,4;1321,1;4646,5;3488,5;2594,7;15270,8
2016;1125,4;1374,6;694,5;1275,9;4677,3;3491,7;2663,9;15303,3
2017;1118;1391,4;673,3;1224,5;4692,8;3492,2;2732,1;15324,3
2018;1113,6;1406;654,6;1178,1;4693;3497,9;2800,7;15343,9
2019;1107,3;1416,3;637,3;1134,7;4674,9;3508,8;2870,3;15349,6
2020;1104,3;1417,8;637,1;1099,4;4657;3524,7;2919,7;15360
